AssignmentExpression,BinaryExpression,BlockStatement,CallExpression,ControlFlow,ExpressionStatement,Functions,Identifier,Literal,LogicalExpression,MemberExpression,ReturnStatement,UnaryExpression,VariableDeclaration,VariableDeclarator,array_expr_prim_elem,call_expr_str_arg,dom_operations,eval,obj_expr_prop_val,str_Constructor,str_charAt,str_charCodeAt,str_concat,str_fromCharCode,str_replace,str_slice,str_split,str_substring,var_with_str_assign,ConditionalExpression,ObjectExpressions,Property,SequenceExpression,EmptyStatement,Exceptions,Loops,NewExpression,ObjectPattern,TemplateElement,TemplateLiteral,ThisExpression,UpdateExpression,ArrayPattern,BreakStatement,SwitchCase,ContinueStatement,AssignmentPattern,LabeledStatement,Class,Imports,ClassBody,ClassDeclaration,MethodDefinition,Super,AwaitExpression,SpreadElement,RestElement,Exports,ClassExpression,ChainExpression,TaggedTemplateExpression,ExportAllDeclaration,DebuggerStatement,YieldExpression
131,192,126,224,49,84,93,1647,3519,118,471,73,103,65,110,68,38,38,0,847,2,0,0,2,0,0,2,1,0,1,41,525,1835,46,2,30,8,28,0,0,0,98,3,0,1,9,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,192,126,224,49,84,93,1647,3537,118,471,73,103,65,110,57,38,38,0,892,2,0,0,2,0,0,2,1,0,1,41,564,1830,46,2,30,8,28,0,0,0,98,3,0,1,9,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,2,0,4,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,5,16,3,10,3,58,29,2,19,1,2,5,6,0,10,4,0,13,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,41,22,44,10,25,14,275,95,21,89,8,15,18,30,2,23,8,0,13,0,0,0,0,0,4,0,0,0,1,3,5,15,6,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,39,17,40,7,23,13,257,85,21,83,5,15,15,27,2,21,6,0,13,0,0,0,0,0,4,0,0,0,1,3,5,15,6,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,76,59,93,23,85,34,619,153,23,231,13,18,43,61,2,40,13,0,9,0,0,0,0,0,4,0,0,0,3,5,11,20,7,0,2,6,5,0,0,0,41,5,0,2,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,12,1,10,4,53,22,2,18,1,0,1,3,0,9,4,0,2,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,837,702,747,323,584,215,4517,1554,147,1179,257,86,381,515,2,286,101,1,16,2,4,0,0,2,6,8,26,4,78,74,64,100,0,1,50,46,40,0,0,0,32,44,0,36,28,10,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,390,315,343,144,252,99,2032,713,71,534,119,41,161,227,1,136,43,1,0,1,2,0,0,1,3,4,13,2,34,35,24,41,0,0,21,21,17,0,0,0,16,20,0,15,11,5,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,11,17,12,6,16,7,90,116,3,35,0,1,10,10,23,6,14,0,35,0,0,0,0,0,0,0,0,0,0,2,13,38,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,26,27,47,10,47,10,242,119,6,94,1,4,16,17,23,32,33,0,22,0,0,0,0,0,0,0,1,0,1,2,12,24,0,3,2,2,0,0,0,0,0,2,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,26,27,48,10,48,10,248,125,6,94,1,4,16,17,23,32,33,0,25,0,0,0,0,0,0,0,1,0,1,2,14,30,0,3,2,2,0,0,0,0,0,2,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,11,8,5,12,4,77,46,1,30,0,1,8,8,22,5,12,0,5,0,0,0,0,0,0,0,0,0,0,2,3,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,14,11,0,1,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2,2,1,6,1,25,37,0,11,0,1,1,3,28,2,4,0,0,0,0,0,0,0,1,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,7,0,7,1,41,13,1,13,0,0,1,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,5,17,1,19,4,97,28,3,35,0,0,2,4,0,16,6,0,1,0,0,0,0,0,1,0,0,0,0,1,3,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,16,25,41,14,32,18,271,445,22,113,10,6,16,16,0,22,14,0,103,0,0,0,0,0,0,0,0,0,0,4,25,215,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,6,0,6,1,39,11,1,12,0,0,1,3,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,57,148,25,115,28,570,457,16,180,6,9,56,58,0,72,37,0,155,0,1,0,0,0,0,0,1,2,11,4,24,174,2,0,2,2,4,0,0,0,1,1,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,29,34,60,14,73,19,390,272,14,104,2,2,38,40,0,36,36,0,90,0,1,0,0,0,0,0,1,2,10,2,18,109,2,0,2,2,4,0,0,0,0,1,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,24,30,65,13,52,18,284,252,9,63,2,2,36,36,0,36,15,0,87,0,1,0,0,0,0,0,1,2,10,1,15,111,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,23,25,41,12,44,14,235,236,8,49,2,2,34,34,0,22,15,0,88,0,1,0,0,0,0,0,1,2,10,1,11,99,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,32,39,73,19,65,17,314,279,12,78,4,2,40,40,0,47,17,0,89,0,2,0,0,0,1,0,1,2,10,1,11,100,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,23,24,40,12,46,13,237,269,8,49,2,2,35,35,0,22,15,0,102,0,1,0,0,0,0,0,1,2,10,1,11,113,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,55,60,61,23,69,30,426,339,21,107,17,6,47,47,9,32,19,0,117,0,1,0,0,0,0,0,1,2,11,1,34,157,0,0,0,4,6,0,0,0,31,3,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,23,24,37,12,43,13,229,231,8,46,2,2,33,33,0,20,16,0,86,0,1,0,0,0,0,0,1,2,10,1,10,97,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,17,15,42,3,47,14,238,122,2,83,5,2,22,22,23,14,12,0,27,0,0,0,0,0,0,0,0,0,8,3,14,37,2,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,17,15,41,3,46,14,236,99,2,82,5,2,22,22,0,14,12,0,27,0,0,0,0,0,0,0,0,0,8,3,13,37,2,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8,15,38,3,41,14,203,82,2,71,5,2,15,15,0,10,11,0,28,0,0,0,0,0,0,0,0,0,2,3,12,36,2,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,48,12,38,2,25,8,163,76,10,54,1,1,9,17,0,17,1,0,10,0,0,0,0,0,0,0,0,0,2,1,7,14,0,1,0,2,2,0,0,0,5,2,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,88,69,177,14,61,50,1151,12309,107,221,16,105,40,124,0,34,18,0,5594,0,0,0,0,0,4,0,3,0,8,42,652,6337,46,0,6,4,5,0,0,0,2,2,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,19,26,61,12,44,17,281,64,10,86,12,8,19,19,3,23,6,0,2,0,0,0,0,0,0,0,0,0,2,2,12,10,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,9,25,5,17,6,88,21,2,38,3,10,3,5,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,421,365,420,164,308,117,2457,906,75,624,128,43,198,265,22,164,52,1,79,1,2,0,0,1,3,4,13,2,39,38,53,156,0,0,25,23,23,0,0,0,19,22,0,18,14,5,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,28,24,105,7,57,15,252,191,0,75,0,1,15,15,0,73,8,0,43,0,0,0,0,0,0,0,0,0,1,0,23,68,0,0,0,3,4,0,0,0,11,4,0,6,7,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,3,7,0,11,3,35,259,2,18,0,25,0,0,50,1,3,0,64,0,0,0,0,0,0,0,0,0,0,0,34,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,3,6,0,10,3,31,288,2,15,0,22,0,0,76,1,3,0,68,0,0,0,0,0,0,0,0,0,0,0,34,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,7,16,2,11,5,63,22,2,22,0,0,7,7,2,9,5,0,7,0,0,0,0,0,0,0,0,0,2,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,79,107,163,29,146,70,970,583,74,330,13,63,73,78,139,68,113,0,103,0,0,0,0,0,2,0,2,1,1,7,135,216,13,3,4,7,19,0,0,0,11,4,0,0,0,1,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5,8,12,3,19,5,86,28,4,40,0,0,5,8,1,7,16,0,3,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,4,1,3,2,12,8,0,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5,9,14,3,20,6,92,30,4,42,0,0,7,10,1,11,17,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,37,91,77,42,113,31,609,157,15,244,16,14,31,46,2,38,28,0,35,0,0,0,0,0,0,0,0,0,1,1,15,43,0,32,7,4,5,0,0,0,18,4,0,1,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,9,11,3,19,6,105,36,4,43,0,0,7,10,1,6,16,0,12,0,0,0,0,0,0,0,0,0,0,1,6,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,11,9,17,4,22,6,109,33,4,47,1,0,6,9,1,9,16,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,10,16,3,23,7,119,44,4,49,0,0,9,12,1,12,18,0,12,0,0,0,0,0,0,0,0,0,0,1,6,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,55,38,79,22,46,13,307,111,10,132,7,11,18,24,0,43,30,0,9,0,0,0,0,0,3,0,0,0,3,1,2,9,0,2,0,1,2,0,0,0,12,1,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,422,355,456,167,325,116,2465,1018,93,717,127,48,174,241,28,207,65,1,94,2,2,0,0,2,5,4,22,2,34,37,66,149,0,11,21,24,20,0,0,0,16,23,0,15,11,5,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,420,352,381,161,299,109,2285,787,74,599,128,43,195,262,4,144,51,1,8,1,2,0,0,1,3,4,13,2,39,38,35,50,0,0,25,23,21,0,0,0,16,22,0,18,14,5,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,36,38,81,8,62,23,311,110,9,141,2,6,17,28,5,48,20,0,2,0,0,0,0,0,0,0,1,0,0,2,7,9,2,0,0,2,2,0,0,0,12,2,0,1,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,5,42,0,25,6,124,40,0,49,0,0,12,12,0,25,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,11,0,6,2,22,9,0,5,0,0,3,3,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,3,2,0,9,3,32,4,0,13,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Benign,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,2,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,11,43,0,27,13,94,32,0,27,1,0,7,7,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Benign,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0
4,0,5,15,0,13,5,54,12,0,14,0,0,6,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,0,7,9,0,9,7,42,5,0,6,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,23,80,0,59,33,215,73,0,68,0,0,22,26,7,48,0,0,0,0,0,0,0,0,0,0,0,0,7,0,21,2,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,0,2,2,6,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,6,0,2,0,22,1,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,18,121,0,75,16,307,150,0,181,1,3,24,24,20,56,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
6,0,2,1,0,8,2,23,4,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Benign,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,1,1,2,2,14,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,2,0,36,24,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,2,0,51,28,0,1,0,0,1,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,21,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,21,0,12,2,63,26,0,19,0,0,10,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,6,0,2,1,20,5,0,5,0,0,2,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,1,3,0,10,2,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,32,51,57,22,51,25,422,66,1,137,10,13,33,33,0,18,0,0,8,0,0,0,0,0,0,0,2,0,3,0,17,41,0,0,3,3,3,3,2,1,0,3,0,0,0,1,0,0,Benign,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0
0,10,7,25,7,8,0,154,35,11,68,0,11,26,26,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,1,18,6,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,2,0,2,183,0,1,0,0,0,0,1,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,55,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2,0,2,0,13,12,0,3,0,0,0,0,4,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,2,0,15,27,0,1,0,0,0,0,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,15,20,12,16,4,138,18,7,33,9,15,8,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,2,4,8,4,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0
1,0,0,1,0,2,0,11,4,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,8,12,4,10,2,71,11,2,9,2,6,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,0,0,2,0,0,2,10,5,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,39,1,3,1,109,59,0,11,2,0,8,8,1,32,0,0,6,0,0,0,0,0,0,0,0,0,0,0,38,36,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,2,0,2,0,38,6,0,9,0,0,2,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3,7,26,52,11,17,11,235,68,7,44,15,9,25,25,6,30,9,0,1,0,0,0,0,0,0,0,1,0,0,1,12,25,0,0,2,0,2,4,18,6,0,0,2,3,3,0,0,0,Benign,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
1,0,0,0,0,1,0,5,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,325,116,90,62,185,58,1471,213,48,494,40,20,66,131,0,39,0,0,10,0,4,0,0,0,0,2,1,0,0,3,35,122,1,0,0,15,2,0,0,0,259,10,0,0,0,2,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3,18,28,5,36,13,106,37,1,53,6,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57,0,0,0,0,0,0,0,Benign,7,1,1,13,1,0,0,0,1,0,0,0,0,0,0
11,2,8,10,2,17,6,100,14,3,45,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,18,1,0,0,0,0,0,0,Benign,8,1,1,4,0,0,0,0,1,0,0,0,0,0,0
55,127,74,76,35,103,14,737,111,14,326,10,16,30,34,0,14,0,0,8,0,0,0,0,0,0,0,0,0,0,4,11,16,0,1,0,5,10,0,0,0,125,7,0,0,0,0,0,0,Benign,8,1,1,14,2,0,0,0,1,0,0,0,0,0,0
17,57,16,29,4,33,8,311,26,3,131,4,2,20,20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,43,6,0,0,0,0,0,0,Benign,8,1,1,8,2,0,0,0,1,0,0,0,0,0,0
35,33,44,44,16,52,16,421,57,9,193,9,13,24,24,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,6,0,1,0,9,4,0,0,0,96,10,0,0,0,0,0,0,Benign,14,1,1,13,1,0,0,0,1,0,0,0,0,0,0
43,19,24,19,14,48,4,244,51,10,135,2,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,12,0,0,0,71,2,0,0,0,0,0,0,Benign,14,1,1,4,0,0,0,0,1,0,0,0,0,0,0
17,32,11,17,3,16,7,223,20,3,89,3,5,9,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,0,15,0,0,4,4,0,0,0,Benign,6,1,1,7,2,0,0,0,1,0,0,0,0,0,0
5,5,7,2,0,6,7,62,6,1,16,4,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,12,0,0,0,0,0,0,0,Benign,6,1,1,7,0,0,0,0,1,0,0,0,0,0,0
9,27,12,19,8,16,2,158,15,2,68,2,2,5,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,27,2,0,0,0,0,0,0,Benign,8,1,1,2,1,0,0,0,1,0,0,0,0,0,0
19,27,16,29,9,40,4,202,46,2,99,1,10,8,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,1,0,0,2,0,0,0,43,0,0,0,0,0,0,0,Benign,6,1,1,3,1,0,0,0,1,0,0,0,0,0,0
60,34,48,74,26,98,18,629,110,15,284,13,33,16,16,0,20,0,0,3,0,0,0,0,0,0,0,0,0,1,3,6,10,0,2,2,2,15,0,0,0,78,8,0,5,10,0,0,0,Benign,34,1,1,8,0,0,0,0,1,0,0,0,0,0,0
36,50,36,28,21,47,9,373,47,7,194,6,21,14,16,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,8,0,1,3,4,5,0,0,0,73,1,0,0,0,0,0,0,Benign,10,1,1,8,0,0,0,0,1,0,0,0,0,0,0
4,7,9,2,3,6,4,50,8,1,25,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,12,2,0,0,0,0,0,0,Benign,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0
52,37,43,49,26,54,9,445,93,13,144,8,13,30,33,0,7,1,1,0,0,0,1,0,0,2,0,5,0,2,4,9,4,1,7,9,7,6,0,0,0,0,6,0,14,26,0,0,0,Benign,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2,0,17,73,0,45,17,174,38,0,72,1,0,15,15,0,36,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
9,0,32,123,0,100,34,247,89,0,105,2,0,5,5,0,82,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
2,0,4,12,0,7,4,43,8,0,17,1,0,4,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,Benign,0,1,0,4,2,0,0,0,0,1,0,0,0,0,0
3,0,15,78,1,22,15,289,66,0,121,6,0,9,9,0,21,2,0,39,0,0,0,0,0,0,0,0,0,0,0,39,55,0,0,0,0,2,2,9,4,33,0,0,2,2,0,0,0,Benign,0,1,0,15,0,0,0,0,0,1,0,0,0,0,0
51,12,100,119,44,128,66,605,66,13,253,19,14,20,20,5,11,2,0,4,0,0,0,0,0,0,0,0,0,0,0,34,35,0,1,5,0,10,2,16,8,130,0,0,0,0,0,0,0,Benign,2,1,1,33,1,0,1,1,2,0,0,0,0,0,0
