AssignmentExpression,BinaryExpression,BlockStatement,CallExpression,ControlFlow,ExpressionStatement,Functions,Identifier,Literal,LogicalExpression,MemberExpression,ReturnStatement,UnaryExpression,VariableDeclaration,VariableDeclarator,array_expr_prim_elem,call_expr_str_arg,dom_operations,eval,obj_expr_prop_val,str_Constructor,str_charAt,str_charCodeAt,str_concat,str_fromCharCode,str_replace,str_slice,str_split,str_substring,var_with_str_assign,ConditionalExpression,ObjectExpressions,Property,SequenceExpression,EmptyStatement,Exceptions,Loops,NewExpression,ObjectPattern,TemplateElement,TemplateLiteral,ThisExpression,UpdateExpression,ArrayPattern,BreakStatement,SwitchCase,ContinueStatement,AssignmentPattern,LabeledStatement,Class,Imports,ClassBody,ClassDeclaration,MethodDefinition,Super,AwaitExpression,SpreadElement,RestElement,Exports,ClassExpression,ChainExpression,TaggedTemplateExpression,ExportAllDeclaration,DebuggerStatement,YieldExpression
32,46,47,84,7,35,43,530,173,43,192,23,41,21,26,3,27,15,0,37,0,0,0,0,0,0,0,0,2,0,7,40,75,19,0,4,2,6,0,0,0,42,3,0,1,3,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,47,49,93,7,43,45,571,196,47,203,23,41,23,28,9,32,23,0,46,0,0,0,0,0,0,0,0,2,0,9,46,85,19,0,4,2,6,0,0,0,42,3,0,1,3,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,47,47,89,7,40,43,564,193,47,200,23,41,23,28,9,29,22,0,46,0,0,0,0,0,0,0,0,2,0,9,46,85,19,0,4,2,6,0,0,0,42,3,0,1,3,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,47,49,92,7,42,45,565,186,47,201,23,41,21,26,9,32,22,0,42,0,0,0,0,0,0,0,0,2,0,9,42,79,19,0,4,2,6,0,0,0,42,3,0,1,3,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,48,50,96,8,43,45,575,200,47,204,23,41,24,29,9,32,23,0,47,0,0,0,0,0,0,0,0,2,0,9,47,87,19,0,4,2,6,0,0,0,42,3,0,1,3,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,47,47,89,7,42,43,571,259,47,206,23,41,24,29,13,29,22,0,75,0,0,0,0,0,0,0,0,2,0,9,51,116,19,0,4,2,6,0,0,0,42,3,0,1,3,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,9,23,76,13,48,10,311,179,37,123,8,12,19,21,3,54,28,0,33,0,0,0,0,0,0,0,0,0,0,2,20,45,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,1362,37,124,8,12,19,21,67,54,29,0,476,0,0,0,0,0,0,0,0,0,0,2,165,636,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,648,37,124,8,12,19,21,9,54,29,0,220,0,0,0,0,0,0,0,0,0,0,2,87,290,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,720,37,124,8,12,19,21,16,54,29,0,248,0,0,0,0,0,0,0,0,0,0,2,96,325,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,5369,37,124,8,12,19,21,300,54,29,0,2012,0,0,0,0,0,0,0,0,0,0,2,629,2599,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,4612,37,124,8,12,19,21,228,54,29,0,1708,0,0,0,0,0,0,0,0,0,0,2,500,2250,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,5414,37,124,8,12,19,21,259,54,29,0,2030,0,0,0,0,0,0,0,0,0,0,2,668,2705,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,4699,37,124,8,12,19,21,223,54,29,0,1770,0,0,0,0,0,0,0,0,0,0,2,530,2298,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,4406,37,124,8,12,19,21,264,54,29,0,1620,0,0,0,0,0,0,0,0,0,0,2,485,2123,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,1734,37,124,8,12,19,21,74,54,29,0,630,0,0,0,0,0,0,0,0,0,0,2,190,821,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,4706,37,124,8,12,19,21,247,54,29,0,1730,0,0,0,0,0,0,0,0,0,0,2,528,2321,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,4408,37,124,8,12,19,21,234,54,29,0,1636,0,0,0,0,0,0,0,0,0,0,2,485,2140,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,4314,37,124,8,12,19,21,220,54,29,0,1578,0,0,0,0,0,0,0,0,0,0,2,452,2102,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,4603,37,124,8,12,19,21,275,54,29,0,1718,0,0,0,0,0,0,0,0,0,0,2,526,2216,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,4210,37,124,8,12,19,21,265,54,29,0,1535,0,0,0,0,0,0,0,0,0,0,2,451,2016,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,3929,37,124,8,12,19,21,251,54,29,0,1415,0,0,0,0,0,0,0,0,0,0,2,401,1877,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,1875,37,124,8,12,19,21,80,54,29,0,674,0,0,0,0,0,0,0,0,0,0,2,208,892,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,4405,37,124,8,12,19,21,233,54,29,0,1653,0,0,0,0,0,0,0,0,0,0,2,494,2123,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,3919,37,124,8,12,19,21,200,54,29,0,1471,0,0,0,0,0,0,0,0,0,0,2,447,1894,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,4042,37,124,8,12,19,21,231,54,29,0,1473,0,0,0,0,0,0,0,0,0,0,2,427,1946,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,1464,37,124,8,12,19,21,45,54,29,0,534,0,0,0,0,0,0,0,0,0,0,2,183,701,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,3545,37,124,8,12,19,21,177,54,29,0,1322,0,0,0,0,0,0,0,0,0,0,2,406,1706,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,4301,37,124,8,12,19,21,266,54,29,0,1561,0,0,0,0,0,0,0,0,0,0,2,471,2060,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,2464,37,124,8,12,19,21,136,54,29,0,854,0,0,0,0,0,0,0,0,0,0,2,271,1191,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,5337,37,124,8,12,19,21,191,54,29,0,1978,0,0,0,0,0,0,0,0,0,0,2,682,2744,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,3535,37,124,8,12,19,21,169,54,29,0,1284,0,0,0,0,0,0,0,0,0,0,2,387,1724,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,7802,37,124,8,12,19,21,395,54,29,0,2979,0,0,0,0,0,0,0,0,0,0,2,1042,3949,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,598,37,124,8,12,19,21,9,54,29,0,204,0,0,0,0,0,0,0,0,0,0,2,82,265,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
