ControlFlow,Exceptions,Expressions,Functions,Literal,LogicalExpression,LoopControlFlow,Loops,ObjectExpressions,Pattern,Property,Return,Statements,ThisExpression,VariableDeclarator,arrayManipulation,avg_str_length,concatenation,dom_operations,encodingObfuscation,eval,file_length,funcArgsCallExpression,funcArgsPrimitiveVal,funcReturnString,funcSelfInvoking,stringCount,varConcatenation,varWithArrayExpression,varWithCallExpression,varWithLiteralString,varWithNewExpression,varWithObjExpression,varWithThisExpression,Class
0,0,7,1,57,1,0,0,16,0,15,1,2,0,0,0,33,0,0,0,0,2591,0,25,0,1,57,0,0,0,0,0,0,0,Benign
19,2,503,20,474,8,5,11,2,0,0,13,123,3,66,2,82,58,2,11,1,27026,7,14,0,0,132,3,1,20,8,9,0,0,Malicious
71,0,732,88,196,9,3,19,43,0,40,48,273,3,131,30,94,23,0,7,0,12188,5,12,0,27,18,16,11,11,0,0,11,0,Benign
2,4,617,7,586,0,4,5,2,0,0,6,305,1,36,2,10,9,6,1,0,12429,3,8,1,0,54,2,2,5,5,10,0,0,Malicious
0,0,151,13,64,0,0,0,4,0,5,0,28,2,19,0,14,0,1,0,0,2238,0,58,0,12,35,0,0,18,0,0,0,0,Benign
15,0,170,7,80,3,0,2,6,0,5,0,73,6,16,0,5,25,4,1,0,3533,7,30,0,5,58,0,3,1,3,0,0,0,Benign
19,0,326,11,146,35,0,0,5,0,9,5,26,13,18,1,13,13,15,19,0,4501,6,81,0,8,104,0,0,3,0,0,0,0,Benign
0,0,7,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,60024,1,2,0,0,2,0,0,0,0,0,0,0,Malicious
1,0,3,1,11349,0,0,0,1,0,0,1,3,0,1,0,2,0,0,0,1,81218,0,0,0,0,11348,0,1,0,0,0,0,0,Malicious
0,0,25,0,27,0,0,0,0,0,0,0,23,0,2,0,520,0,0,0,1,17363,0,23,0,0,27,0,0,0,0,2,0,0,Malicious
10,0,146,4,149,36,0,0,17,0,43,7,38,0,15,0,36,1,20,0,0,11411,0,42,0,2,131,0,0,1,0,0,0,0,Benign
0,0,3,0,36,0,0,0,0,0,0,0,2,0,1,0,501,34,1,0,1,24465,0,1,0,0,35,1,0,0,0,0,0,0,Malicious
13,0,169,12,73,6,0,0,7,0,22,7,44,12,7,0,7,8,6,2,0,6256,0,14,0,5,63,0,0,2,0,5,0,0,Benign
0,0,96,0,17821,0,0,1,2,0,92,0,2,0,4,0,4,3,0,0,1,133326,0,0,0,0,17728,0,1,0,1,0,1,0,Malicious
120,2,2468,86,675,157,8,39,74,0,180,35,255,56,235,13,8,103,24,13,0,28509,16,217,0,13,359,2,5,40,1,1,14,1,Benign
127,4,1249,169,361,110,1,26,95,0,141,199,227,14,228,14,8,19,5,5,0,16903,18,36,0,56,124,13,4,60,1,4,5,0,Benign
0,0,102,0,17647,0,0,1,2,0,92,0,4,0,4,0,2,3,0,0,1,96355,0,0,0,0,17550,0,1,0,1,0,1,0,Malicious
38,0,398,4,1458,6,0,0,955,0,1527,1,97,0,25,0,10,20,1,1,0,38706,7,29,0,1,608,0,4,2,11,0,1,0,Benign
0,0,6,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,57900,1,2,0,0,1,0,0,0,0,0,0,0,Malicious
2,0,57,2,27,3,0,0,2,0,3,1,24,0,4,0,23,0,16,1,0,1325,0,6,0,1,18,0,0,2,0,0,0,0,Benign
9,0,149,16,28,14,0,0,7,0,10,6,32,8,20,0,10,0,1,0,0,1675,0,5,0,6,13,0,0,2,1,0,1,0,Benign
4,0,33,4,17,1,0,2,2,0,0,4,16,0,0,1,2286,4,0,4,1,21667,3,6,1,1,9,0,0,0,0,0,0,0,Malicious
15,0,249,10,894,37,0,0,114,0,413,8,73,0,21,2,19,4,29,0,0,32745,0,55,0,6,721,0,0,4,0,0,0,0,Benign
0,0,54,0,30,0,0,0,0,0,0,0,26,0,2,0,873,0,0,0,1,26784,26,26,0,0,30,0,0,0,0,2,0,0,Malicious
1,2,65,11,41,0,1,2,0,0,0,1,44,0,0,0,205,24,0,0,1,7353,10,12,0,0,26,0,0,0,0,0,0,0,Malicious
5,0,201,5,73,32,0,0,0,0,0,1,14,12,11,0,14,2,0,1,0,2231,0,51,0,3,61,0,0,4,0,0,0,0,Benign
0,0,45,1,145,0,0,0,50,0,94,0,17,0,0,0,12,0,1,0,0,3437,0,14,0,1,15,0,0,0,0,0,0,0,Benign
0,0,6,0,3,0,0,0,0,0,0,0,0,0,1,2,3124,0,0,1,0,9891,0,2,0,0,3,0,0,1,0,0,0,0,Malicious
10,0,80,5,11,3,0,0,2,0,3,2,24,12,2,1,7,0,1,1,0,1410,0,2,0,3,6,0,1,0,0,0,1,0,Benign
6,0,72,3,37,5,0,1,11,0,9,1,21,1,4,2,4,0,8,5,0,1630,0,2,0,2,33,0,0,0,0,1,0,0,Benign
0,0,8,0,17871,0,0,1,1,0,92,0,3,0,4,0,2,0,0,0,1,99323,0,0,0,0,17870,0,0,0,1,1,1,0,Malicious
18,8,588,21,608,10,5,12,5,0,9,17,124,5,49,0,50,66,0,12,1,33415,5,18,1,0,286,3,2,16,5,5,2,1,Malicious
27,0,296,11,68,4,1,2,5,0,12,10,106,54,23,1,5,6,0,1,0,4233,4,7,1,2,32,0,1,7,1,0,0,0,Benign
0,0,176,1,177,0,0,0,0,0,0,1,89,0,0,0,1,0,0,0,0,173939,0,0,0,0,176,0,0,0,0,0,0,0,Malicious
10,0,124,17,16,19,0,0,4,0,2,16,20,1,18,0,8,2,4,0,0,1473,1,1,0,2,6,0,0,3,0,0,2,0,Benign
2,4,620,7,592,0,4,5,2,0,0,6,304,6,35,2,10,18,6,1,0,15058,3,8,1,0,61,2,2,4,5,10,0,0,Malicious
1,0,23,0,18839,0,0,1,1,0,0,0,10,1,5,1,1,11,2,1,1,52110,0,2,0,0,109,0,1,0,2,1,0,0,Malicious
159,0,2055,77,537,213,7,3,29,0,104,19,181,12,84,1,6,122,15,2,0,21428,11,100,0,32,292,6,2,21,2,0,1,0,Benign
6,0,395,12,97,9,0,1,0,0,0,6,26,88,18,0,140,106,2,5,0,17460,4,12,0,3,85,2,0,8,2,0,0,1,Benign
1,0,69,2,36,0,0,0,0,0,0,3,31,0,1,3,365,0,0,2,1,13508,26,32,0,0,35,0,0,0,0,1,0,0,Malicious
1,0,69,2,36,0,0,0,0,0,0,3,31,0,1,3,364,0,0,2,1,13491,26,32,0,0,35,0,0,0,0,1,0,0,Malicious
2,0,88,11,20,6,0,0,3,0,0,2,23,0,10,0,12,2,5,0,0,1506,0,10,0,5,11,0,0,5,0,0,2,0,Benign
17,10,251,57,86,29,0,4,14,8,32,59,83,0,39,8,2,13,3,18,0,4227,4,25,2,2,38,2,1,17,2,0,2,0,Benign
0,0,33,0,57,0,0,0,3,0,0,0,2,0,23,0,11,17,1,0,0,2192,0,2,0,0,27,1,3,2,1,0,0,0,Malicious
273,49,4422,242,1479,482,6,77,166,0,317,180,656,169,460,37,10,168,158,60,0,56759,54,371,1,46,959,10,19,93,9,5,19,0,Benign
12,4,343,17,383,10,4,7,6,0,4,14,102,9,38,7,8,44,1,22,0,8286,5,16,0,0,237,2,1,12,1,5,2,1,Malicious
50,0,433,11,162,50,6,1,6,0,2,9,105,7,16,0,8,1,2,0,0,8454,10,73,0,4,81,0,0,9,0,0,0,0,Benign
29,4,333,23,236,10,4,18,10,0,1,25,127,15,33,9,51,38,1,33,1,13388,13,38,5,4,149,2,0,6,2,0,1,0,Malicious
19,2,492,20,506,8,5,11,20,0,0,13,118,3,68,2,80,59,2,10,1,26262,6,15,0,0,138,3,3,20,8,9,0,0,Malicious
0,0,54,0,31,0,0,0,0,0,0,0,26,0,3,0,1051,0,0,0,1,32137,26,26,0,0,30,0,0,0,0,2,0,0,Malicious
1,0,16,1,18469,0,0,1,1,0,0,1,8,0,8,1,1,5,1,1,1,51931,0,1,1,0,102,0,1,3,2,1,0,0,Malicious
154,14,1576,189,528,73,11,25,98,0,177,168,322,58,177,22,7,64,11,34,1,20803,60,105,0,67,274,8,2,44,3,1,3,1,Benign
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147817,0,0,0,0,0,0,0,0,0,0,0,0,Malicious
285,125,5711,527,1193,474,8,48,352,0,314,440,1029,397,485,67,10,125,14,23,1,65262,69,216,2,180,566,2,39,159,2,4,19,5,Benign
0,0,57,1,31,0,0,0,0,0,0,1,28,0,1,1,611,0,0,0,1,19569,26,28,0,0,31,0,0,0,0,1,0,0,Malicious
8,0,210,22,150,1,0,1,40,0,107,1,77,7,22,0,13,4,9,1,0,11443,3,55,0,18,59,3,0,12,1,1,0,0,Benign
47,5,1147,273,475,47,4,6,62,0,115,256,338,13,89,117,10,3,20,118,0,18864,40,251,0,123,357,1,0,43,0,3,4,0,Benign
6,0,199,12,40,2,0,0,1,0,0,4,62,39,7,0,7,1,13,0,0,2851,1,31,0,5,28,0,0,2,0,1,0,0,Benign
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147460,0,0,0,0,0,0,0,0,0,0,0,0,Malicious
138,2,1872,89,349,85,0,4,25,0,70,47,576,199,87,4,13,17,18,2,0,50951,6,109,0,32,162,1,3,33,0,0,2,3,Benign
0,0,48,0,28,0,0,0,0,0,0,0,23,0,3,0,1199,0,0,0,1,32940,23,23,0,0,27,0,0,0,0,2,0,0,Malicious
0,0,176,1,177,0,0,0,0,0,0,1,89,0,0,0,1,0,0,0,0,173394,0,0,0,0,176,0,0,0,0,0,0,0,Malicious
1,0,18,1,35566,0,0,1,1,0,92,1,9,2,8,0,1,17702,0,0,1,152459,0,1,0,0,35563,2,0,2,1,1,1,0,Malicious
19,2,492,20,506,8,5,11,20,0,0,13,118,3,68,2,79,59,2,10,1,25664,6,15,0,0,138,3,3,20,8,9,0,0,Malicious
12,6,114,9,20,2,0,3,5,0,2,5,55,12,21,2,6,4,1,1,0,3755,2,6,0,0,11,0,1,3,1,0,2,0,Benign
358,21,9735,439,1982,512,8,60,284,0,460,207,1096,1544,566,94,12,427,99,62,0,94700,131,533,2,168,1124,41,21,108,20,4,20,19,Benign
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63807,0,0,0,0,0,0,0,0,0,0,0,0,Malicious
17,0,263,29,96,25,0,1,27,5,33,4,48,0,50,1,11,0,21,1,0,3652,8,31,0,3,40,0,0,23,7,0,1,0,Benign
85,18,1936,150,647,115,0,16,65,0,203,55,319,36,156,8,26,148,70,13,0,34033,16,153,0,62,451,7,1,33,5,6,5,1,Benign
36,4,170,35,238,1,17,1,16,0,0,32,87,0,109,0,13,68,1,0,1,8005,3,35,8,0,73,20,3,31,17,1,0,0,Malicious
9,0,89,7,47,11,0,0,4,0,11,1,17,3,5,0,19,4,2,0,0,1598,0,16,0,3,37,0,0,2,1,1,0,0,Benign
731,190,11234,999,4411,1011,20,216,1360,0,2257,861,2109,67,1988,95,13,226,53,75,0,173031,478,856,2,296,2252,15,44,511,27,16,53,0,Benign
0,0,16163,1,16165,0,0,1,1,0,0,1,92,0,91,0,1,4,0,0,1,130434,0,0,0,0,94,1,1,0,1,0,0,0,Malicious
1,0,16,1,18357,0,0,1,1,0,0,1,8,0,8,1,1,5,1,1,1,51591,0,1,1,0,102,0,1,3,2,1,0,0,Malicious
19,2,300,20,474,8,5,11,2,0,0,14,121,3,68,2,79,57,2,11,1,24015,7,13,0,0,132,4,1,20,9,9,0,0,Malicious
11,0,251,26,48,15,0,1,10,0,22,12,47,25,13,0,11,3,5,1,0,2919,1,12,0,5,24,0,0,4,1,0,1,0,Benign
1,0,67,2,36,0,0,0,0,0,0,3,31,0,1,3,367,0,0,0,1,13588,26,32,0,0,35,0,0,0,0,1,0,0,Malicious
1,0,105,1,129,0,0,0,0,0,0,2,5,0,24,1,355,1,0,0,1,77223,23,29,0,0,82,0,0,1,0,0,0,0,Malicious
0,0,11,0,17224,0,0,1,1,0,92,0,4,0,4,0,2,2,0,0,1,93503,0,0,0,0,17219,0,0,0,1,1,1,0,Malicious
30,3,449,39,206,46,1,10,26,0,56,32,91,2,56,7,16,18,9,0,0,6180,4,17,1,13,91,3,0,9,0,3,4,0,Benign
27,0,631,50,326,4,0,2,27,0,39,4,239,27,28,0,11,11,19,1,0,9462,3,231,0,39,265,1,0,21,0,0,1,0,Benign
169,7,1759,145,181,268,5,21,188,28,232,57,223,13,248,8,5,3,7,9,0,18054,62,13,0,1,43,5,0,63,13,2,16,0,Benign
1,0,21,0,18152,0,0,1,1,0,0,0,10,1,5,0,1,8,2,0,1,50228,0,2,0,0,106,0,1,0,2,1,0,0,Malicious
0,0,2,0,67,0,0,0,0,0,0,0,1,0,0,0,44,66,1,0,0,3445,0,0,0,0,67,0,0,0,0,0,0,0,Benign
0,0,5,0,2,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,60073,1,1,0,0,2,0,0,0,0,0,0,0,Malicious
65,0,517,31,169,18,0,1,9,0,34,11,204,52,35,4,9,38,7,2,0,12906,6,85,0,21,113,3,0,18,0,0,1,2,Benign
194,12,4866,407,1128,255,5,23,172,0,416,228,956,547,414,29,9,83,46,61,0,70446,69,436,0,85,766,6,8,112,11,5,12,2,Benign
43,7,778,55,223,70,1,10,39,0,52,24,219,18,77,11,8,12,10,14,0,8836,13,92,0,21,123,1,4,17,1,0,3,1,Benign
1,0,21,0,18175,0,0,1,1,0,0,0,10,1,5,0,1,8,2,0,1,50335,0,2,0,0,107,0,1,0,2,1,0,0,Malicious
9,2,225,5,380,4,4,8,5,0,3,6,74,4,27,4,6,72,0,17,1,7102,3,14,0,0,338,3,2,5,0,3,2,1,Malicious
0,0,3,0,36,0,0,0,0,0,0,0,2,0,1,0,491,34,1,0,1,24018,0,1,0,0,35,1,0,0,0,0,0,0,Malicious
1,0,10,0,6,0,0,0,0,0,0,0,4,0,0,2,1,2,1,0,1,83674,0,2,0,0,4,0,0,0,0,0,0,0,Malicious
222,2,4550,212,1814,368,20,27,164,0,405,75,436,288,281,7,29,641,18,20,1,84403,46,429,0,70,1248,5,2,54,7,0,10,0,Benign
1,0,21,0,18174,0,0,1,1,0,0,0,10,1,5,0,1,8,2,0,1,50268,0,2,0,0,106,0,1,0,2,1,0,0,Malicious
125,54,2770,277,492,223,1,28,136,0,84,233,527,256,239,33,6,52,9,10,0,29485,43,122,1,88,274,1,13,89,2,3,8,0,Benign
0,0,8,0,17651,0,0,1,1,0,92,0,3,0,4,0,2,0,0,0,1,98061,0,0,0,0,17650,0,0,0,1,1,1,0,Malicious
0,0,9,0,33950,0,0,1,1,0,0,0,3,0,4,1,0,0,0,1,1,78448,0,0,0,0,92,0,1,0,1,1,0,0,Malicious
4,0,32,1,18,2,0,0,1,0,4,1,13,0,4,0,73,3,1,0,0,1756,0,1,0,0,3,1,0,2,0,0,1,0,Benign
19,2,502,20,472,8,5,11,2,0,0,13,122,3,66,2,85,56,2,11,1,26998,7,14,0,0,130,3,1,20,8,9,0,0,Malicious
1,2,68,9,50,0,1,2,0,0,0,1,40,0,0,0,159,29,0,0,1,6685,8,10,0,0,29,0,0,0,0,0,0,0,Malicious
0,0,57,1,31,0,0,0,0,0,0,1,28,0,1,1,624,0,0,0,1,19957,26,28,0,0,31,0,0,0,0,1,0,0,Malicious
0,0,7,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,57376,1,2,0,0,2,0,0,0,0,0,0,0,Malicious
1,0,8,0,612,2,0,0,1,0,610,0,4,0,0,0,26,0,0,0,0,34988,0,1,0,0,612,0,0,0,0,0,0,0,Benign
1,0,105,1,106,0,0,0,0,0,0,2,5,0,24,1,166,1,0,0,1,15416,23,29,0,0,82,0,0,1,0,0,0,0,Malicious
1,0,15,1,17276,0,0,1,1,0,91,1,9,1,9,0,3,34,1,0,1,106186,0,1,0,0,17274,2,0,3,1,1,1,0,Malicious
2,2,374,7,340,0,2,4,1,0,0,6,186,1,34,2,53,9,6,1,1,10483,3,23,1,0,67,2,1,4,5,11,0,0,Malicious
19,2,489,20,505,8,5,11,20,0,0,13,117,3,68,2,79,58,2,10,1,25578,6,15,0,0,138,3,3,20,8,9,0,0,Malicious
247,14,4202,305,2208,292,9,14,414,0,1202,187,642,54,529,18,12,160,38,29,0,79319,36,279,2,83,1620,17,3,120,10,3,12,0,Benign
512,83,7575,516,2102,670,18,80,266,0,523,360,1980,769,680,99,23,175,93,59,0,97009,100,426,6,108,995,23,29,113,7,15,30,9,Benign
23,0,277,15,67,1,0,1,7,0,6,2,128,13,29,0,8,2,1,0,0,7773,0,32,0,6,42,0,0,7,0,0,2,0,Benign
1,0,69,2,36,0,0,0,0,0,0,3,31,0,1,3,365,0,0,2,1,13517,26,32,0,0,35,0,0,0,0,1,0,0,Malicious
2,4,644,7,604,0,4,6,2,0,0,6,306,7,35,2,11,18,7,1,0,15172,3,11,1,0,70,2,2,9,5,5,0,0,Malicious
1,0,6,0,14477,0,0,0,1,0,0,0,3,0,1,0,1,0,1,0,1,72539,1,2,0,0,14475,0,1,0,0,0,0,0,Malicious
10,2,258,12,263,11,4,9,6,0,4,9,84,4,39,2,7,47,1,15,0,6951,2,12,0,0,225,2,2,7,0,3,2,1,Malicious
15,3,269,27,42,20,0,2,20,0,21,20,89,41,17,2,4,7,1,7,1,3182,11,3,0,6,22,0,0,7,0,1,0,2,Benign
77,1,511,14,259,116,0,4,46,0,115,27,23,0,36,5,6,6,2,7,0,7735,5,11,1,3,103,2,1,16,1,0,0,0,Benign
51,0,1099,53,324,18,0,2,34,0,62,30,254,47,85,7,17,22,28,1,0,13128,67,203,0,7,127,7,2,20,1,0,7,0,Benign
19,2,488,19,511,8,5,11,20,0,0,12,117,3,69,1,77,65,2,9,1,24985,6,14,0,0,142,4,3,20,7,9,0,0,Malicious
15,0,249,10,1734,37,0,0,190,0,821,8,73,0,21,2,25,4,29,0,0,79019,0,55,0,6,1437,0,0,4,0,0,0,0,Benign
8,2,216,5,268,6,4,8,5,0,4,6,71,4,28,2,6,48,1,14,0,5789,1,12,0,0,232,2,2,6,0,3,2,1,Malicious
6,0,358,29,199,12,0,1,49,0,143,13,53,28,32,1,603,11,6,1,0,57319,17,35,0,13,87,1,2,13,5,0,0,0,Benign
598,122,6860,672,2186,647,6,68,553,0,873,579,1248,398,1312,89,7,109,24,90,0,82887,133,431,2,184,874,35,37,363,5,30,43,0,Benign
29,4,333,23,236,10,4,18,10,0,1,25,127,15,33,9,51,38,1,33,1,13392,13,38,5,4,149,2,0,6,2,0,1,0,Malicious
7,0,443,35,346,9,0,1,72,0,222,16,64,0,78,4,9,0,0,4,0,7743,50,60,0,12,194,0,2,42,0,0,3,0,Benign
233,12,6684,358,1758,352,3,33,195,0,482,141,803,803,488,29,13,249,93,17,0,71591,72,656,0,163,1095,24,1,189,8,2,25,9,Benign
3,0,187,97,172,1,1,2,0,0,0,96,132,3,141,0,3,92,7,0,0,6723,2,16,2,90,144,0,0,16,119,3,0,0,Malicious
19,2,503,20,474,8,5,11,2,0,0,13,123,3,66,2,81,58,2,11,1,26399,7,14,0,0,132,3,1,20,8,9,0,0,Malicious
194,11,6227,464,3149,389,4,39,224,0,1017,189,989,692,464,47,5,83,38,33,0,75006,49,624,5,181,2647,30,23,183,3,2,15,1,Benign
88,5,1220,131,418,149,0,16,65,0,137,82,239,1,170,30,6,95,22,32,0,16648,7,65,1,60,207,7,4,54,6,2,11,0,Benign
1,0,16,1,18457,0,0,1,1,0,0,1,8,0,8,1,1,5,1,1,1,51900,0,1,1,0,103,0,1,3,2,1,0,0,Malicious
1,0,7,0,14343,0,0,0,1,0,0,0,4,0,1,0,1,2,1,0,1,114859,0,2,0,0,14341,0,1,0,0,0,0,0,Malicious
202,47,1760,222,640,112,9,15,211,0,112,229,387,93,217,12,13,35,14,10,0,23979,20,66,0,108,227,3,7,32,13,6,6,0,Benign
19,2,300,20,474,8,5,11,2,0,0,14,121,3,68,2,77,57,2,11,1,22778,7,13,0,0,132,4,1,20,9,9,0,0,Malicious
0,0,2,0,4,0,0,0,0,0,0,0,0,0,3,0,14638,0,0,0,0,62835,0,1,0,0,4,0,0,1,1,0,0,0,Malicious
1,0,10,0,6,0,0,0,0,0,0,0,4,0,0,2,1,2,1,0,1,84408,0,2,0,0,4,0,0,0,0,0,0,0,Malicious
0,0,102,0,17648,0,0,1,2,0,92,0,4,0,4,0,2,3,0,0,1,96208,0,0,0,0,17551,0,1,0,1,0,1,0,Malicious
5,1,143,13,69,8,0,4,9,0,25,10,27,0,16,1,14,7,4,0,0,1836,0,5,0,1,30,0,1,2,0,1,2,0,Benign
1,0,23,0,18147,0,0,1,1,0,0,0,10,2,5,0,1,7,1,0,1,50235,0,2,0,0,105,0,1,0,2,1,0,0,Malicious
50,0,588,36,297,11,0,4,6,0,7,17,246,1,88,0,12,22,38,7,0,12168,8,163,1,13,199,4,3,63,8,0,1,0,Benign
16,0,201,7,58,0,0,0,10,0,24,0,82,13,0,0,11,5,0,2,0,3093,2,21,0,5,40,0,0,0,0,0,0,0,Benign
1,0,16,1,18439,0,0,1,1,0,0,1,8,0,8,1,1,5,1,1,1,51831,0,1,1,0,102,0,1,3,2,1,0,0,Malicious
1,0,105,1,129,0,0,0,0,0,0,2,5,0,24,1,361,1,0,0,1,77671,23,29,0,0,82,0,0,1,0,0,0,0,Malicious
1,0,9,0,13835,0,0,0,1,0,0,0,4,0,1,1,1,4,1,0,1,69324,0,2,0,0,13833,0,1,0,0,0,0,0,Malicious
9,2,154,18,38,15,0,6,11,2,6,8,35,1,23,2,9,0,3,0,0,1431,2,6,0,1,5,1,0,4,0,0,3,0,Benign
1,0,18,1,18926,0,0,1,1,0,0,1,8,1,8,1,1,8,0,1,1,53230,0,1,0,0,106,1,1,3,1,1,0,0,Malicious
1,0,15,1,17569,0,0,1,1,0,91,1,9,1,9,0,3,34,1,0,1,107164,0,1,0,0,17567,2,0,3,1,1,1,0,Malicious
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61803,0,0,0,0,0,0,0,0,0,0,0,0,Malicious
0,0,9,0,17219,0,0,1,1,0,92,0,4,0,4,0,2,1,0,0,1,95487,0,0,0,0,17218,0,0,0,1,1,1,0,Malicious
1,0,67,2,36,0,0,0,0,0,0,3,31,0,1,3,374,0,0,0,1,13836,26,32,0,0,35,0,0,0,0,1,0,0,Malicious
19,2,503,20,471,8,5,11,2,0,0,13,121,3,68,2,83,54,2,10,1,26593,7,13,0,0,130,3,1,20,10,9,0,0,Malicious
0,0,102,0,17612,0,0,1,2,0,92,0,4,0,4,0,2,3,0,0,1,95985,0,0,0,0,17515,0,1,0,1,0,1,0,Malicious
383,39,5250,462,1358,501,8,46,349,0,516,345,921,235,674,62,9,118,40,25,0,67549,217,214,0,159,635,21,18,188,2,7,27,11,Benign
0,0,157,51,128,1,0,0,129,0,176,50,54,0,1,1,89,0,2,0,0,14567,0,26,0,25,127,0,0,1,0,0,0,0,Benign
53,0,796,31,395,112,5,1,89,0,166,31,49,11,149,16,7,13,0,2,0,9772,32,71,0,14,157,0,2,27,0,1,3,3,Benign
57,11,1002,99,266,41,0,5,113,0,195,66,185,32,121,12,9,0,4,8,0,12912,53,68,0,38,133,0,4,60,0,2,4,2,Benign
1,0,16,1,18293,0,0,1,1,0,0,1,8,0,8,1,1,5,1,1,1,51453,0,1,1,0,102,0,1,3,2,1,0,0,Malicious
0,0,172,1,173,0,0,0,0,0,0,1,87,0,0,0,1,0,0,0,0,174344,0,0,0,0,172,0,0,0,0,0,0,0,Malicious
16,0,227,9,50,0,0,4,11,0,22,0,78,4,21,12,11,9,26,0,0,6328,5,11,0,3,28,1,1,7,0,0,0,0,Benign
38,2,2271,199,316,86,4,4,70,0,67,77,383,268,167,20,12,37,14,5,0,28527,16,120,0,59,193,1,10,97,6,7,7,0,Benign
0,0,57,1,31,0,0,0,0,0,0,1,28,0,1,1,610,0,0,0,1,19501,26,28,0,0,31,0,0,0,0,1,0,0,Malicious
0,0,411,0,808,0,0,0,405,0,0,0,1,0,407,0,3,364,2,0,0,48738,0,0,0,0,402,1,0,2,0,0,0,0,Malicious
87,0,938,49,345,40,0,0,17,0,23,7,321,39,59,1,15,22,26,2,0,15943,6,223,2,33,248,4,1,27,7,0,0,0,Benign
1,0,23,0,17834,0,0,1,1,0,0,0,10,2,5,0,1,7,1,0,1,49420,0,2,0,0,105,0,1,0,2,1,0,0,Malicious
1,0,23,0,18792,0,0,1,1,0,0,0,10,1,5,1,1,11,2,1,1,51988,0,2,0,0,110,0,1,0,2,1,0,0,Malicious
0,0,5,0,2,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,57157,1,1,0,0,2,0,0,0,0,0,0,0,Malicious
22,2,337,23,832,11,5,13,24,0,8,17,139,4,77,6,59,64,0,9,1,28337,7,12,0,0,187,5,5,22,7,9,2,1,Malicious
68,6,1573,58,366,89,0,3,51,0,76,21,138,104,93,2,8,19,12,2,0,15796,54,85,0,25,177,4,0,21,1,19,2,0,Benign
177,0,4370,121,1008,284,7,18,88,0,154,25,287,111,201,13,10,103,24,9,0,43245,36,277,0,29,436,6,1,20,0,0,4,0,Benign
12,0,134,10,18,2,0,0,11,0,12,5,61,2,15,0,14,2,0,0,0,7077,0,3,0,5,11,0,0,4,0,0,1,0,Benign
92,0,552,39,271,46,10,4,23,0,51,26,223,8,88,6,6,24,31,2,0,10768,2,74,0,11,108,9,4,13,4,0,5,0,Benign
4,0,109,12,24,1,0,0,3,0,4,3,43,8,12,0,9,0,2,0,0,1539,1,16,0,11,18,0,0,6,2,0,2,0,Benign
52,4,1319,140,528,56,3,2,105,0,161,93,227,27,143,36,168,12,12,56,0,53008,70,251,0,40,231,4,0,96,0,3,6,0,Benign
3,0,3407,11,4153,1,2,2,11,0,0,8,1137,0,5,2,1,9,0,4,1,22242,10,16,0,0,1772,0,2,0,2,1,0,0,Malicious
0,0,7,1,107,1,0,0,38,0,43,1,2,0,0,0,33,0,0,0,0,4744,0,25,0,1,107,0,0,0,0,0,0,0,Benign
9,0,122,8,48,0,0,0,1,0,1,1,40,12,6,0,10,5,1,1,0,2983,2,36,0,5,39,1,0,4,0,0,0,0,Benign
618,42,9434,676,2419,1340,15,170,428,0,583,548,1278,464,991,131,8,316,24,106,0,100554,106,424,0,186,1170,23,35,109,8,14,33,17,Benign
403,10,4875,219,2101,195,32,49,176,0,438,149,1332,635,608,167,10,338,3,19,0,156446,93,598,5,11,979,43,20,74,55,0,21,24,Benign
89,15,687,84,235,58,9,10,17,0,21,52,216,6,110,3,13,13,8,2,0,9867,6,26,0,15,57,6,2,23,0,3,4,0,Benign
10,5,113,14,42,20,0,2,16,0,16,9,33,2,30,3,17,0,0,1,0,1719,2,3,0,5,15,1,1,3,0,1,1,0,Benign
137,6,1424,83,511,211,12,4,46,0,109,72,336,54,144,0,9,50,32,1,0,18635,6,138,1,12,238,9,1,36,23,1,7,0,Benign
1,0,16,1,18506,0,0,1,1,0,0,1,8,0,8,1,1,5,1,1,1,52011,0,1,1,0,102,0,1,3,2,1,0,0,Malicious
3,0,86,6,48,0,0,0,4,0,13,2,21,2,25,3,4,5,0,3,0,2841,3,5,0,2,15,1,0,13,0,3,1,0,Benign
1,0,2603,5,2578,1,0,2,2,0,0,4,1300,0,1,0,3,0,0,4,1,18969,2,4,0,0,1292,0,1,0,0,0,0,0,Malicious
43,4,651,39,182,37,3,3,31,0,60,38,58,79,26,5,14,34,8,7,0,8951,2,55,0,10,145,0,0,5,0,0,1,0,Benign
1,0,19,1,37283,0,0,1,1,0,0,1,9,1,9,1,0,103,1,1,1,89790,0,1,0,0,201,2,1,3,1,1,0,0,Malicious
