ControlFlow,Exceptions,Expressions,Functions,Literal,LogicalExpression,LoopControlFlow,Loops,ObjectExpressions,Pattern,Property,Return,Statements,ThisExpression,VariableDeclarator,arrayManipulation,avg_str_length,concatenation,dom_operations,encodingObfuscation,eval,file_length,funcArgsCallExpression,funcArgsPrimitiveVal,funcReturnString,funcSelfInvoking,stringCount,varConcatenation,varWithArrayExpression,varWithCallExpression,varWithLiteralString,varWithNewExpression,varWithObjExpression,varWithThisExpression,Class
1,0,67,2,34,0,0,0,0,0,0,3,31,0,1,3,380,0,0,2,1,13266,26,32,0,0,33,0,0,0,0,1,0,0,Malicious
4,0,648,69,247,8,0,4,38,1,6,1,21,0,11,2,16,0,5,0,0,5436,59,235,0,0,67,0,0,2,0,2,0,0,Benign
2,4,620,7,592,0,4,5,2,0,0,6,304,6,35,2,10,18,6,1,0,15056,3,8,1,0,61,2,2,4,5,10,0,0,Malicious
74,8,1728,117,446,143,0,7,57,0,117,68,229,224,116,13,12,89,33,19,0,21086,25,73,1,23,278,9,3,37,1,5,7,8,Benign
104,2,558,47,192,83,10,2,12,0,49,51,300,10,89,1,8,13,1,1,0,8327,3,14,2,2,41,7,1,18,21,1,2,0,Benign
1,0,9,0,13458,0,0,0,1,0,0,0,4,0,1,1,1,4,1,0,1,67443,0,2,0,0,13456,0,1,0,0,0,0,0,Malicious
137,8,3848,233,1165,231,8,10,117,0,258,106,425,375,178,12,14,73,23,23,0,46028,37,685,2,90,913,4,0,66,3,1,9,2,Benign
0,0,15747,1,15749,0,0,1,1,0,0,1,92,0,91,0,1,4,0,0,1,127023,0,0,0,0,94,1,1,0,1,0,0,0,Malicious
15,0,247,10,179,37,0,0,20,0,45,8,72,0,21,2,24,4,28,0,0,11496,0,55,0,6,154,0,0,4,0,0,0,0,Benign
21,3,500,45,600,43,1,8,302,0,642,20,108,3,77,28,28,17,7,24,0,24086,7,39,0,6,390,2,3,38,2,5,9,0,Benign
190,0,561,99,918,79,0,0,183,0,395,188,107,2,61,4,3,16,0,3,0,16947,7,136,0,1,578,5,2,16,0,1,1,0,Benign
20,5,403,33,142,34,0,2,21,0,41,19,77,31,19,0,11,0,6,0,0,5278,2,59,0,7,89,0,0,4,0,0,2,0,Benign
25,0,359,13,118,16,0,1,30,0,59,0,65,24,21,0,7,43,11,0,0,9368,0,22,0,8,81,2,1,9,0,0,1,0,Benign
7,0,163,22,134,11,0,1,57,0,78,10,41,0,8,0,18,17,19,0,0,4582,1,16,0,4,117,0,0,1,0,0,1,0,Benign
